,participant,block_label,trial_block,f_cor,f_inc,cor_option,inc_option,times_seen,rt,accuracy,feedback_type
319,2,2,1,43,39,2,1,1,1.6409720252440818,0,0
320,2,2,2,49,28,3,1,1,1.941464878210354,0,0
321,2,2,3,30,36,2,1,2,1.1577238719492016,1,0
322,2,2,4,37,39,2,1,3,1.3379969873813025,1,0
323,2,2,5,55,51,4,3,1,1.3936727495902232,0,0
324,2,2,6,52,50,4,3,2,1.3906126852889429,1,0
325,2,2,7,56,43,4,3,3,1.2387631810606765,1,0
326,2,2,8,51,36,3,1,5,1.7043462470428494,0,0
327,2,2,9,44,29,2,1,5,1.7265637133377822,1,0
328,2,2,10,52,48,4,3,5,1.788947382254264,1,0
329,2,2,11,48,35,2,1,6,1.6454165425066094,0,0
330,2,2,12,50,33,4,2,5,1.3599178339454738,1,0
331,2,2,13,57,42,3,1,7,1.832853246279228,0,0
332,2,2,14,38,35,2,1,8,2.3129532709581326,0,0
333,2,2,15,54,43,4,2,7,1.1489304111000822,1,0
334,2,2,16,59,45,4,2,8,1.022537979442859,1,0
335,2,2,17,40,37,2,1,10,1.2320392316287323,1,0
336,2,2,18,46,46,2,1,11,1.068728395655853,1,0
337,2,2,19,54,45,4,3,8,1.2525496838043182,1,0
338,2,2,20,60,48,4,3,9,0.9070300241291988,1,0
339,2,2,21,52,26,3,1,11,1.5327949122038262,1,0
340,2,2,22,50,56,4,3,10,0.9965897264437444,1,0
341,2,2,23,40,33,2,1,12,1.2756358465458106,1,0
342,2,2,24,57,36,4,2,12,1.2490923060804562,0,0
343,2,2,25,54,46,4,2,13,1.7721998022307162,0,0
344,2,2,26,47,37,3,1,13,1.8478962015269644,1,0
345,2,2,27,51,56,4,3,13,1.0601513409164909,1,0
346,2,2,28,55,45,4,3,14,1.6499064572644784,0,0
347,2,2,29,53,41,3,1,15,2.2475730259684497,1,0
348,2,2,30,52,42,4,3,15,1.0916623231842095,1,0
349,2,2,31,32,34,2,1,15,1.4991707276949455,1,0
350,2,2,32,46,30,3,1,17,2.0116108362799423,1,0
351,2,2,33,42,38,2,1,17,1.2441934725220565,1,0
352,2,2,34,61,51,4,3,17,1.2574020958627443,1,0
353,2,2,35,49,60,4,3,18,0.9055520454985526,1,0
354,2,2,36,44,32,3,1,19,1.8869462401489727,1,0
